Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Clay,Tomato,Vegetative,Kharif,Canal,Rice,Central,5.24,14.2,0.81,1.45,110,67,39,16.25,57.29,1026.55,123.16,4.01,MOP
Silt,Maize,Flowering,Kharif,Sprinkler,Sugarcane,West,4.84,54.52,0.56,0.51,98,33,35,37.05,33.47,2952.3,255.08,5.52,DAP
Clay,Maize,Flowering,Zaid,Drip,Cotton,South,6.24,33.59,1.44,0.62,137,24,104,13.28,64.06,2536.61,66.34,5.2,DAP
Silt,Maize,Sowing,Kharif,Sprinkler,Wheat,West,7.13,47.19,0.31,1.19,26,31,51,32.0,53.85,419.68,296.12,7.42,Urea
Silt,Sugarcane,Flowering,Rabi,Canal,Tomato,South,6.25,17.0,1.42,0.71,152,41,56,30.35,41.99,2295.66,248.88,4.59,SSP
Sandy,Rice,Vegetative,Kharif,Sprinkler,Maize,West,5.61,43.54,0.6,0.34,135,84,28,12.19,83.79,1779.0,216.61,6.29,MOP
Clay,Potato,Vegetative,Rabi,Rainfed,Potato,North,6.73,21.82,0.87,2.05,122,51,113,37.05,74.16,839.73,63.26,7.89,NPK
Sandy,Maize,Harvest,Rabi,Canal,Maize,Central,5.89,31.92,0.34,1.79,72,68,86,19.49,47.04,2290.42,294.96,5.42,Zinc Sulphate
Clay,Rice,Harvest,Rabi,Canal,Potato,North,8.23,10.84,0.29,0.94,138,64,96,32.23,62.34,284.5,240.25,1.96,Zinc Sulphate
Clay,Sugarcane,Sowing,Zaid,Canal,Wheat,North,8.19,17.58,0.76,2.36,22,14,92,18.31,87.79,2248.29,162.88,7.97,Urea
Sandy,Rice,Vegetative,Kharif,Sprinkler,Tomato,Central,6.51,14.6,1.16,2.35,81,50,89,25.77,44.73,2706.81,257.19,5.5,NPK
Sandy,Rice,Harvest,Rabi,Rainfed,Wheat,North,5.81,21.99,0.55,1.52,51,66,34,39.17,86.84,2671.32,134.6,7.92,Urea
Clay,Wheat,Vegetative,Kharif,Sprinkler,Sugarcane,East,7.45,15.0,0.93,0.38,21,62,99,28.32,71.0,2362.55,152.11,4.66,Urea
Loamy,Maize,Harvest,Rabi,Sprinkler,Rice,North,4.65,44.6,0.56,2.76,99,47,94,18.89,62.45,2817.25,217.96,1.35,Compost
Silt,Tomato,Sowing,Rabi,Drip,Rice,West,6.4,11.45,0.71,2.04,143,10,27,23.75,88.99,2180.52,280.56,7.5,DAP
Sandy,Tomato,Harvest,Rabi,Canal,Maize,North,5.85,40.89,1.38,0.82,100,69,18,30.28,50.02,2122.84,279.86,7.21,MOP
Silt,Rice,Harvest,Kharif,Rainfed,Rice,Central,8.18,17.04,1.31,1.87,72,85,97,23.36,46.69,273.34,109.04,4.41,Zinc Sulphate
Loamy,Maize,Harvest,Zaid,Rainfed,Rice,East,4.55,57.26,0.87,1.27,159,55,113,37.32,50.38,687.73,210.5,3.43,Compost
Loamy,Wheat,Flowering,Zaid,Rainfed,Tomato,Central,6.71,56.65,0.51,1.94,143,13,26,36.02,75.05,2388.0,271.09,2.04,DAP
Loamy,Wheat,Harvest,Rabi,Rainfed,Wheat,South,7.46,21.28,0.45,1.47,152,24,103,14.4,50.22,2993.01,75.95,7.5,DAP
Sandy,Rice,Sowing,Kharif,Rainfed,Wheat,Central,6.44,40.72,1.44,1.51,23,21,13,33.55,36.17,2215.81,96.44,4.66,Urea
Loamy,Rice,Flowering,Kharif,Sprinkler,Wheat,North,4.84,11.4,0.46,2.23,75,10,64,38.27,68.66,1823.52,246.56,6.48,DAP
Sandy,Tomato,Sowing,Rabi,Rainfed,Wheat,South,8.39,56.59,1.25,1.88,99,86,63,19.51,43.38,713.57,190.57,5.32,Zinc Sulphate
Loamy,Wheat,Sowing,Zaid,Sprinkler,Rice,Central,6.57,36.15,0.68,0.33,64,39,37,17.15,30.25,2854.15,64.11,1.82,DAP
Silt,Cotton,Harvest,Kharif,Drip,Potato,East,6.96,12.16,1.48,0.29,72,83,114,10.29,41.95,2019.25,183.64,1.33,DAP
Silt,Rice,Sowing,Kharif,Drip,Potato,South,5.45,27.12,0.68,0.98,92,15,49,13.47,79.15,1569.31,280.37,3.65,DAP
Clay,Tomato,Flowering,Kharif,Sprinkler,Wheat,West,6.43,13.84,0.66,1.35,35,82,18,38.83,86.41,2611.88,95.73,1.05,Urea
Silt,Cotton,Harvest,Kharif,Rainfed,Wheat,South,6.22,29.65,1.03,0.9,112,59,45,21.73,69.72,2869.19,67.11,2.48,Compost
Clay,Potato,Flowering,Kharif,Canal,Potato,South,4.8,43.5,1.45,1.99,132,11,17,21.62,48.63,1239.32,286.61,7.42,DAP
Silt,Sugarcane,Sowing,Rabi,Rainfed,Cotton,North,4.92,33.49,1.47,0.67,49,15,71,18.0,56.19,1644.2,144.96,5.06,Urea
Sandy,Sugarcane,Vegetative,Kharif,Rainfed,Potato,Central,7.85,29.19,1.12,2.14,39,84,95,14.92,41.67,522.29,244.08,5.86,Urea
Silt,Tomato,Flowering,Rabi,Rainfed,Potato,South,5.46,15.96,1.18,2.34,125,86,98,25.26,82.85,2887.59,201.6,6.46,Compost
Clay,Sugarcane,Sowing,Rabi,Sprinkler,Sugarcane,South,5.28,22.25,0.93,0.46,106,47,58,31.7,69.93,537.89,96.82,7.63,Compost
Clay,Rice,Flowering,Rabi,Sprinkler,Potato,South,6.52,15.01,1.18,1.99,55,85,79,26.52,35.06,2801.28,100.42,2.07,Urea
Loamy,Tomato,Vegetative,Rabi,Rainfed,Tomato,Central,7.57,50.37,1.32,2.89,41,27,99,11.06,52.02,734.9,235.67,5.03,Urea
Sandy,Rice,Harvest,Rabi,Canal,Potato,East,4.75,16.76,0.83,0.66,148,28,51,34.1,62.28,2744.57,208.62,3.72,DAP
Silt,Sugarcane,Flowering,Rabi,Sprinkler,Cotton,Central,6.81,39.77,1.01,2.74,40,37,11,37.95,77.84,1466.46,53.73,3.67,Urea
Loamy,Cotton,Sowing,Kharif,Drip,Rice,East,4.98,27.14,0.9,1.86,24,21,40,23.21,85.23,1857.78,173.81,5.77,Urea
Silt,Rice,Vegetative,Zaid,Rainfed,Wheat,South,4.65,21.3,0.93,1.81,139,61,85,20.99,37.96,299.74,279.7,2.42,Compost
Silt,Rice,Vegetative,Zaid,Drip,Tomato,Central,4.71,41.97,1.36,0.25,101,86,28,16.9,80.07,1304.28,183.12,5.44,MOP
Loamy,Maize,Harvest,Zaid,Drip,Rice,Central,7.84,32.85,0.66,2.27,98,67,110,19.06,33.95,1581.5,56.99,3.54,Zinc Sulphate
Loamy,Maize,Flowering,Kharif,Drip,Maize,Central,4.97,30.01,0.47,1.49,64,31,110,29.33,44.43,226.4,172.33,1.83,DAP
Loamy,Maize,Sowing,Rabi,Sprinkler,Rice,South,4.68,39.64,0.79,2.19,77,54,74,33.1,31.26,2050.4,61.31,6.94,Compost
Loamy,Wheat,Vegetative,Zaid,Sprinkler,Cotton,South,6.25,34.56,0.47,2.45,64,71,83,19.97,33.83,2548.91,163.2,2.0,NPK
Loamy,Rice,Vegetative,Zaid,Sprinkler,Cotton,East,7.88,25.17,0.85,1.62,57,51,69,20.19,31.95,269.38,234.31,4.54,Urea
Silt,Sugarcane,Sowing,Kharif,Drip,Sugarcane,East,5.55,37.95,1.37,0.86,70,76,71,23.53,38.76,1579.1,82.75,2.94,DAP
Loamy,Wheat,Sowing,Zaid,Canal,Tomato,Central,6.19,43.47,1.0,0.51,43,18,69,15.11,82.59,294.45,135.25,7.67,Urea
Sandy,Wheat,Harvest,Rabi,Drip,Wheat,West,4.66,11.33,1.31,0.57,110,73,107,37.82,47.03,2645.22,99.75,5.3,Compost
Clay,Wheat,Harvest,Zaid,Sprinkler,Cotton,North,6.3,33.29,0.42,2.61,44,24,25,31.16,58.78,650.28,148.39,5.46,Urea
Loamy,Sugarcane,Harvest,Zaid,Sprinkler,Cotton,South,6.81,12.88,1.37,0.46,89,39,114,23.01,59.23,363.87,87.39,4.8,DAP
Loamy,Wheat,Harvest,Rabi,Sprinkler,Rice,North,6.78,19.32,0.98,1.22,68,35,16,13.67,89.72,2601.55,117.97,7.27,DAP
Silt,Maize,Vegetative,Kharif,Sprinkler,Maize,North,5.83,38.03,0.24,1.07,36,78,86,35.46,51.88,1444.62,83.63,3.12,Urea
Loamy,Potato,Sowing,Kharif,Sprinkler,Tomato,North,5.76,53.31,1.02,2.61,62,31,77,24.51,45.91,467.15,153.11,4.98,DAP
Loamy,Tomato,Vegetative,Rabi,Rainfed,Wheat,East,4.93,54.14,1.44,1.49,101,63,112,33.91,87.79,2014.17,167.89,2.57,Compost
Loamy,Wheat,Sowing,Rabi,Rainfed,Sugarcane,South,5.97,13.5,0.3,2.99,82,67,104,11.0,65.55,2175.68,196.76,2.37,Zinc Sulphate
Silt,Cotton,Sowing,Kharif,Drip,Potato,West,4.9,30.96,0.96,2.24,43,88,83,18.21,47.37,1791.34,239.14,4.37,Urea
Loamy,Maize,Vegetative,Kharif,Rainfed,Tomato,West,7.57,39.15,1.39,2.57,52,62,21,28.66,47.25,1129.96,75.98,2.92,Urea
Clay,Rice,Vegetative,Kharif,Sprinkler,Sugarcane,West,8.37,17.35,0.21,0.39,36,28,107,24.64,35.18,1388.56,267.31,6.24,Urea
Silt,Rice,Harvest,Kharif,Rainfed,Maize,Central,8.38,48.27,1.02,0.83,63,43,101,18.85,63.41,2873.55,224.92,1.3,Zinc Sulphate
Clay,Maize,Vegetative,Rabi,Drip,Potato,South,7.96,47.21,0.82,0.49,126,23,14,16.03,73.42,1696.21,76.99,1.82,DAP
Silt,Tomato,Sowing,Rabi,Drip,Potato,East,6.9,55.17,0.65,1.44,118,31,101,19.05,58.48,1311.77,144.88,5.34,DAP
Loamy,Potato,Harvest,Kharif,Canal,Maize,East,7.3,10.42,1.02,2.18,48,22,56,32.27,83.07,2182.94,144.53,1.53,Urea
Clay,Tomato,Flowering,Rabi,Rainfed,Tomato,Central,5.64,20.83,0.27,0.59,31,73,20,15.51,59.04,413.24,226.03,3.23,Urea
Silt,Rice,Sowing,Rabi,Drip,Sugarcane,East,7.02,51.36,1.18,0.48,119,65,43,27.81,50.78,1012.64,87.45,5.38,MOP
Sandy,Sugarcane,Harvest,Kharif,Canal,Potato,South,6.32,43.53,0.21,1.88,146,81,88,22.71,45.05,834.12,65.37,2.52,Compost
Loamy,Sugarcane,Harvest,Zaid,Canal,Potato,Central,6.43,54.72,0.6,0.77,156,51,60,32.89,44.6,2104.29,56.26,6.45,SSP
Silt,Potato,Harvest,Zaid,Sprinkler,Potato,West,7.53,12.86,0.86,1.49,105,75,14,16.05,48.99,1890.96,266.86,7.72,MOP
Sandy,Wheat,Vegetative,Zaid,Canal,Tomato,North,5.63,39.85,0.69,0.25,72,72,57,18.1,89.52,2326.42,204.7,7.55,NPK
Silt,Potato,Vegetative,Rabi,Sprinkler,Maize,West,5.77,38.45,0.6,2.07,80,51,94,21.96,51.65,1394.96,55.15,1.61,NPK
Sandy,Tomato,Vegetative,Zaid,Rainfed,Cotton,North,8.2,11.78,1.28,1.67,132,43,40,15.0,61.48,687.04,284.26,6.04,Zinc Sulphate
Loamy,Tomato,Flowering,Kharif,Rainfed,Potato,South,4.72,35.68,1.42,1.98,67,38,49,23.84,46.48,711.92,77.1,6.3,DAP
Clay,Cotton,Flowering,Zaid,Drip,Tomato,South,6.44,40.48,1.34,0.9,127,35,16,22.48,38.61,2698.31,237.17,2.24,DAP
Sandy,Potato,Harvest,Kharif,Drip,Tomato,South,8.15,19.56,0.88,0.91,98,32,108,39.7,68.75,409.7,263.67,1.66,DAP
Silt,Tomato,Flowering,Rabi,Drip,Cotton,East,6.94,23.67,1.35,2.42,66,45,94,27.82,62.71,1863.54,212.44,1.73,DAP
Loamy,Wheat,Flowering,Rabi,Rainfed,Tomato,South,6.69,42.02,1.4,2.18,86,18,49,12.08,34.07,848.68,67.73,4.48,DAP
Sandy,Cotton,Sowing,Kharif,Drip,Rice,Central,5.5,33.42,0.73,1.78,83,51,78,23.8,82.97,799.98,191.69,7.11,NPK
Silt,Potato,Vegetative,Zaid,Rainfed,Rice,East,5.87,52.9,0.57,1.92,141,76,23,36.36,60.46,475.54,163.22,3.33,MOP
Silt,Tomato,Sowing,Kharif,Rainfed,Rice,East,7.91,27.12,0.33,0.37,63,16,107,36.0,50.12,2941.99,239.75,2.16,DAP
Silt,Rice,Sowing,Kharif,Rainfed,Maize,East,6.74,23.33,0.82,2.58,24,32,19,38.85,76.76,370.76,117.19,5.22,Urea
Sandy,Maize,Flowering,Kharif,Rainfed,Sugarcane,East,6.56,59.24,1.43,2.33,113,41,91,36.83,36.73,613.7,223.86,3.63,DAP
Sandy,Wheat,Harvest,Kharif,Canal,Wheat,West,4.9,55.56,0.93,1.81,98,32,90,15.29,58.43,1222.47,100.65,7.88,DAP
Sandy,Potato,Harvest,Zaid,Rainfed,Tomato,South,4.56,11.45,1.07,2.76,58,25,111,10.11,62.93,1476.23,227.18,4.7,Urea
Clay,Sugarcane,Sowing,Kharif,Drip,Cotton,West,8.35,48.54,0.35,0.59,121,78,58,28.49,76.51,2862.24,115.59,1.11,Zinc Sulphate
Sandy,Tomato,Sowing,Kharif,Canal,Sugarcane,Central,6.01,15.52,0.39,2.09,111,22,105,31.07,52.21,877.01,296.74,6.33,DAP
Sandy,Wheat,Sowing,Zaid,Canal,Sugarcane,Central,6.91,11.37,0.8,2.89,40,19,26,13.94,81.3,2218.74,281.46,7.55,Urea
Sandy,Sugarcane,Flowering,Zaid,Drip,Sugarcane,West,4.82,23.68,1.44,1.0,93,68,95,15.01,71.86,2037.89,176.92,6.25,Compost
Clay,Maize,Sowing,Kharif,Sprinkler,Sugarcane,Central,7.23,23.47,0.67,0.14,47,11,98,38.89,76.26,1648.99,225.4,2.95,Urea
Sandy,Maize,Vegetative,Kharif,Drip,Maize,West,8.23,50.97,1.34,2.23,132,89,60,38.31,88.14,944.97,253.7,7.06,Zinc Sulphate
Silt,Maize,Sowing,Zaid,Sprinkler,Cotton,East,6.8,45.53,0.36,0.12,47,61,89,14.71,80.69,638.58,220.71,5.1,Urea
Sandy,Wheat,Sowing,Zaid,Sprinkler,Sugarcane,East,5.0,59.08,1.0,2.63,105,10,71,17.41,50.81,694.26,253.4,4.61,DAP
Silt,Potato,Sowing,Kharif,Sprinkler,Wheat,North,6.83,45.58,0.98,0.26,121,79,39,36.76,68.75,1168.78,127.15,2.32,MOP
Silt,Sugarcane,Vegetative,Rabi,Sprinkler,Sugarcane,East,7.57,30.91,1.32,1.99,38,63,64,23.05,82.12,583.94,80.37,4.0,Urea
Silt,Rice,Flowering,Rabi,Rainfed,Tomato,West,6.13,44.95,0.2,1.19,82,28,43,33.94,61.51,2996.03,80.89,5.86,DAP
Clay,Cotton,Vegetative,Rabi,Sprinkler,Maize,Central,8.02,59.97,0.45,0.69,135,37,78,21.88,70.97,1448.29,211.06,6.79,DAP
Clay,Maize,Vegetative,Rabi,Rainfed,Potato,West,7.09,45.51,0.49,2.7,57,14,117,32.09,40.34,1709.17,167.43,7.18,Urea
Clay,Rice,Vegetative,Zaid,Drip,Potato,East,8.1,48.08,1.43,2.26,65,85,42,21.9,78.95,1926.08,254.68,4.86,Zinc Sulphate
Sandy,Wheat,Harvest,Rabi,Sprinkler,Tomato,North,6.99,56.92,0.4,1.09,111,39,14,36.98,75.45,748.2,64.65,7.11,DAP
Silt,Cotton,Sowing,Kharif,Drip,Potato,West,5.03,15.68,0.25,0.92,28,28,113,19.77,83.33,1548.91,186.36,7.72,Urea
Clay,Potato,Vegetative,Zaid,Rainfed,Maize,West,5.74,45.24,0.89,2.23,28,51,51,25.69,72.61,376.09,89.7,5.93,Urea
Clay,Potato,Flowering,Zaid,Rainfed,Wheat,East,5.31,52.54,0.89,2.53,40,34,12,25.65,82.61,2913.67,226.14,7.07,Urea
Sandy,Potato,Sowing,Rabi,Drip,Wheat,South,8.14,57.72,1.3,2.18,43,44,72,29.47,39.73,1523.91,131.06,7.65,Urea
Clay,Rice,Harvest,Rabi,Drip,Rice,East,7.54,20.55,1.43,1.96,114,18,47,19.2,78.82,283.05,109.52,3.48,DAP
Sandy,Potato,Harvest,Kharif,Sprinkler,Tomato,East,7.21,35.2,0.9,0.76,112,48,22,29.28,87.18,1877.41,52.02,6.73,MOP
Loamy,Potato,Harvest,Kharif,Rainfed,Rice,North,5.7,44.03,1.41,2.57,59,65,17,14.23,78.93,480.32,177.93,5.3,Urea
Clay,Rice,Harvest,Zaid,Drip,Rice,Central,5.24,22.37,1.14,2.27,151,47,70,36.81,66.91,2411.95,200.75,6.41,Compost
Loamy,Potato,Harvest,Zaid,Drip,Cotton,South,7.53,40.02,0.54,1.6,150,24,39,14.33,85.59,2869.4,224.56,1.79,DAP
Sandy,Maize,Sowing,Kharif,Rainfed,Rice,South,6.4,22.88,1.41,1.58,40,55,59,35.21,35.67,2766.37,296.76,7.36,Urea
Silt,Rice,Harvest,Rabi,Canal,Sugarcane,Central,5.4,26.67,1.07,1.75,27,46,78,30.79,31.01,1397.79,191.38,6.04,Urea
Clay,Potato,Sowing,Rabi,Drip,Rice,Central,6.97,32.08,0.74,2.5,139,69,47,20.23,87.92,2195.23,213.07,2.76,MOP
Sandy,Rice,Vegetative,Kharif,Rainfed,Maize,East,4.66,36.46,1.08,2.25,129,71,68,19.82,70.98,636.25,198.03,5.75,Compost
Silt,Potato,Harvest,Rabi,Rainfed,Wheat,Central,5.8,32.47,0.72,2.58,148,40,104,38.98,36.85,411.95,222.08,5.61,NPK
Silt,Cotton,Harvest,Rabi,Rainfed,Tomato,South,6.37,34.66,0.35,1.57,33,39,11,15.85,50.4,2498.94,280.45,4.87,Urea
Loamy,Tomato,Flowering,Rabi,Drip,Potato,North,5.09,24.93,1.13,1.91,95,75,66,31.69,74.93,2146.47,291.48,2.24,Compost
Sandy,Cotton,Sowing,Zaid,Rainfed,Tomato,West,8.44,17.95,1.27,2.58,55,16,16,15.51,75.02,2739.77,195.31,4.65,Urea
Silt,Wheat,Sowing,Kharif,Sprinkler,Maize,Central,5.34,12.37,1.15,0.77,136,39,89,37.16,40.2,2760.85,197.12,5.46,DAP
Clay,Maize,Harvest,Kharif,Drip,Wheat,Central,5.02,19.8,0.5,1.39,64,42,19,32.26,58.21,1172.38,257.43,4.86,MOP
Clay,Maize,Flowering,Rabi,Rainfed,Maize,South,5.31,39.1,1.44,1.9,30,47,38,37.98,78.44,1092.21,53.95,3.34,Urea
Loamy,Tomato,Flowering,Kharif,Canal,Sugarcane,East,7.58,49.31,0.23,2.75,86,28,103,36.37,88.01,1437.32,98.22,5.92,DAP
Silt,Rice,Vegetative,Kharif,Canal,Maize,North,6.2,18.46,0.63,0.15,117,18,93,26.48,67.35,2063.91,93.8,5.48,DAP
Sandy,Maize,Flowering,Zaid,Drip,Wheat,South,6.76,15.43,0.54,0.72,109,41,115,14.57,68.29,213.97,68.05,2.63,NPK
